Ticker      AAPL       AMD      AMZN      GOOG      INTC      META      MSFT      NFLX      NVDA      TSLA
Ticker                                                                                                    
AAPL    0.000414  0.000382  0.000240  0.000206  0.000264  0.000256  0.000193  0.000173  0.000317  0.000457
AMD     0.000382  0.001105  0.000392  0.000372  0.000632  0.000463  0.000296  0.000316  0.000768  0.000797
AMZN    0.000240  0.000392  0.000446  0.000274  0.000393  0.000345  0.000245  0.000229  0.000432  0.000550
GOOG    0.000206  0.000372  0.000274  0.000352  0.000253  0.000278  0.000190  0.000175  0.000359  0.000499
INTC    0.000264  0.000632  0.000393  0.000253  0.001571  0.000283  0.000255  0.000266  0.000583  0.000673
META    0.000256  0.000463  0.000345  0.000278  0.000283  0.000523  0.000251  0.000244  0.000481  0.000531
MSFT    0.000193  0.000296  0.000245  0.000190  0.000255  0.000251  0.000264  0.000178  0.000361  0.000377
NFLX    0.000173  0.000316  0.000229  0.000175  0.000266  0.000244  0.000178  0.000418  0.000384  0.000421
NVDA    0.000317  0.000768  0.000432  0.000359  0.000583  0.000481  0.000361  0.000384  0.001416  0.000799
TSLA    0.000457  0.000797  0.000550  0.000499  0.000673  0.000531  0.000377  0.000421  0.000799  0.002071
